ma_chuong_trinh,ma_nganh,ma_hp,nam,ki
KCT_02,QHT02,MAT2317,1,2
KCT_02,QHT02,MAT2318,1,2
KCT_02,QHT02,MAT2319,1,2
KCT_02,QHT02,MAT3372,1,2
KCT_02,QHT02,MAT3366,2,1
KCT_02,QHT02,MAT3514,2,1
KCT_02,QHT02,MAT3507,1,2
KCT_02,QHT02,MAT3359,3,2
KCT_02,QHT02,MAT3533,3,2
KCT_02,QHT02,MAT3539,3,2
KCT_02,QHT02,MAT3323,3,2
KCT_02,QHT02,MAT3509,3,2
KCT_02,QHT02,MAT3456,3,2
KCT_02,QHT02,MAT3508,3,1
KCT_02,QHT02,MAT3335,3,2
KCT_02,QHT02,MAT3327,4,1
KCT_02,QHT02,MAT3565,4,1
KCT_02,QHT02,MAT3561,4,1
KCT_02,QHT02,MAT3562,4,1
KCT_02,QHT02,MAT3334,4,1
KCT_02,QHT02,MAT3323,4,1
KCT_98,QHT98,PHI1006,1,1
KCT_98,QHT98,PEC1008,1,2
KCT_98,QHT98,HIS1001,1,1
KCT_98,QHT98,POL1001,1,2
KCT_98,QHT98,PHI1002,1,2
KCT_98,QHT98,INM1000,1,1
KCT_98,QHT98,HIS1056,1,1
KCT_98,QHT98,GEO1050,1,1
KCT_98,QHT98,THL1057,1,1
KCT_98,QHT98,MAT1060,1,1
KCT_98,QHT98,PHY1070,1,1
KCT_98,QHT98,PHY1020,1,1
KCT_98,QHT98,PHY1100,1,1
KCT_98,QHT98,PHY1103,1,2
KCT_98,QHT98,MAT2400,1,1
KCT_98,QHT98,MAT2501,1,2
KCT_98,QHT98,MAT2502,2,1
KCT_98,QHT98,MAT2503,2,2
KCT_98,QHT98,MAT2403,2,2
KCT_98,QHT98,MAT2323,2,1
KCT_98,QHT98,MAT2407,3,1
KCT_98,QHT98,MAT2315,3,1
KCT_98,QHT98,MAT2506,1,1
KCT_98,QHT98,MAT2316,1,2
KCT_98,QHT98,MAT2317,1,2
KCT_98,QHT98,MAT2318,1,2
KCT_98,QHT98,MAT2319,1,2
KCT_98,QHT98,MAT3500,1,2
KCT_98,QHT98,MAT3501,3,1
KCT_98,QHT98,MAT3514,2,2
KCT_98,QHT98,MAT3372,2,1
KCT_98,QHT98,MAT3507,2,1
KCT_98,QHT98,MAT3508,3,1
KCT_98,QHT98,MAT3374,3,2
KCT_98,QHT98,MAT3543,3,1
KCT_98,QHT98,MAT3541,3,1
KCT_98,QHT98,MAT3557,1,2
KCT_98,QHT98,MAT3525,3,2
KCT_98,QHT98,MAT3533,3,2
KCT_98,QHT98,MAT3562,3,1
KCT_98,QHT98,MAT3509,4,1
KCT_98,QHT98,MAT3539,4,1
KCT_98,QHT98,MAT3542,4,1
KCT_98,QHT98,MAT2034,3,1
KCT_93,QHT93,PHI1006,1,1
KCT_93,QHT93,PEC1008,1,2
KCT_93,QHT93,HIS1001,1,1
KCT_93,QHT93,POL1001,1,2
KCT_93,QHT93,PHI1002,2,2
KCT_93,QHT93,INM1000,1,1
KCT_93,QHT93,HIS1056,1,1
KCT_93,QHT93,GEO1050,1,1
KCT_93,QHT93,THL1057,1,1
KCT_93,QHT93,MAT1060,1,1
KCT_93,QHT93,PHY1070,1,1
KCT_93,QHT93,PHY1020,1,1
KCT_93,QHT93,PHY1100,1,1
KCT_93,QHT93,MAT2506,1,1
KCT_93,QHT93,MAT2400,1,1
KCT_93,QHT93,MAT2501,1,1
KCT_93,QHT93,MAT2502,1,2
KCT_93,QHT93,MAT3500,1,2
KCT_93,QHT93,MAT3557,1,2
KCT_93,QHT93,MAT1060 ,1,2
KCT_93,QHT93,PHY1070 ,1,2
KCT_93,QHT93,THL1057,1,2
KCT_93,QHT93,MAT2316,1,2
KCT_93,QHT93,MAT2317,1,2
KCT_93,QHT93,MAT2318,1,2
KCT_93,QHT93,MAT2319,1,2
KCT_93,QHT93,PHY1103,2,1
KCT_93,QHT93,MAT2503,2,1
KCT_93,QHT93,MAT2323,2,1
KCT_93,QHT93,MAT3372,2,1
KCT_93,QHT93,MAT3507,2,1
KCT_93,QHT93,MAT3514,2,2
KCT_93,QHT93,MAT2034,3,1
KCT_93,QHT93,MAT3378,3,1
KCT_93,QHT93,MAT3148,3,1
KCT_93,QHT93,MAT3385,3,1
KCT_93,QHT93,MAT3508,3,1
KCT_93,QHT93,MAT3382,3,1
KCT_93,QHT93,MAT3383,3,1
KCT_93,QHT93,MAT3533,3,2
KCT_93,QHT93,MAT2407,3,2
KCT_93,QHT93,MAT2315,3,2
KCT_93,QHT93,MAT3534,3,2
KCT_93,QHT93,MAT2315,3,2
KCT_93,QHT93,MAT3388,3,2
KCT_93,QHT93,MAT3391,4,1
KCT_93,QHT93,MAT3392,4,1
KCT_93,QHT93,MAT3562,4,1
KCT_93,QHT93,MAT3399,4,1
KCT_93,QHT93,MAT3388,4,1
